P,X,Y,XY
97,473,510,"473, 510, 517, 563"
97,527,507,"527, 507, 518, 563"
97,517,563,"517, 563, 526, 504"
98,518,563,"518, 563, 581, 506"
98,526,504,"526, 504, 574, 561"
98,581,506,"581, 506, 576, 566"
98,574,561,"574, 561, 581, 505"
99,576,566,"576, 566, 629, 506"
99,581,505,"581, 505, 624, 567"
99,629,506,"629, 506, 624, 569"
99,624,567,"624, 567, 629, 509"
100,624,569,"624, 569, 683, 507"
100,629,509,"629, 509, 679, 570"
100,683,507,"683, 507, , "
100,679,570,"679, 570, , "
